,Percent,Percent_Right,Percent_Left
Music,2.95,0.59,6.97
Trump,15.63,20.61,7.17
Hillary,3.96,5.76,0.88
Religion,2.63,3.62,0.93
Fear,2.54,2.98,1.79
BlackLivesMatters,8.45,4.54,15.11
Voter,2.11,2.56,1.35
MeToo,2.56,2.33,2.94
Hurricane,0.65,0.78,0.43
Terrorism,3.12,3.59,2.33
Hacking,0.86,1.03,0.56
Obama,0.45,0.52,0.31
Money,0.83,1.06,0.44
Election,10.62,13.54,5.66
Charlottesville,2.06,2.55,1.23
Economy,1.62,1.8,1.33
