language,Commercial,Fearmonger,HashtagGamer,LeftTroll,NewsFeed,NonEnglish,RightTroll,Unknown,Total
Albanian,0.005313686318790523,3.406209178711874e-05,0.004530258207686792,0.004223699381602723,0.0013965457632718684,0.0007493660193166122,0.0028952778019050926,6.812418357423748e-05,0.01921101976793497
Arabic,0.042339180091388595,0.0001703104589355937,0.008004591569972904,0.015804810589223096,0.001294359487910512,0.18076752111423916,0.009571447792180365,0.0003746830096583061,0.25832690411350856
Bengali,3.406209178711874e-05,0.0,0.0,0.0,0.0,0.0,3.406209178711874e-05,0.0,6.812418357423748e-05
Bulgarian,0.0003065588260840686,0.0,0.0,0.002350284333311193,3.406209178711874e-05,0.3108165875574585,3.406209178711874e-05,0.0,0.313541554900428
Catalan,0.002759029434756618,0.00013624836714847495,0.0041215131062413675,0.003917140555518655,0.0014306078550589871,0.0022821601497369556,0.005007127492706455,0.0003406209178711874,0.0199944478790387
Croatian,0.0017031045893559369,0.00010218627536135622,0.004428071932325436,0.0017712287729301744,0.0007493660193166122,0.0010559248454006809,0.00837927457963121,0.00020437255072271244,0.01839352956504412
Czech,0.0017031045893559369,0.0001703104589355937,0.0014306078550589871,0.0007153039275294936,0.00013624836714847495,0.000919676478252206,0.001021862753613562,0.00013624836714847495,0.006233362797042729
Danish,0.0004428071932325436,0.0,0.0010559248454006809,0.0006131176521681372,0.00013624836714847495,0.0005790555603810186,0.0002724967342969499,0.0,0.0030996503526278052
Dutch,0.005075251676280692,0.0003406209178711874,0.008413336671418328,0.0028271536183308555,0.001839352956504412,0.00674429417384951,0.013931395540931564,0.0001703104589355937,0.03934171601412215
English,3.8577362674419198,0.3697440063491739,8.043115795784136,14.102489427978261,20.357413529122237,0.9428387006674467,24.06602595872015,0.2479379661184373,71.98730165218177
Estonian,0.008413336671418328,3.406209178711874e-05,0.007629908560314597,0.004428071932325436,0.0009878006618264435,0.0009878006618264435,0.003542457545860349,0.00013624836714847495,0.026159686492507193
Farsi (Persian),0.02537625838140346,0.0001703104589355937,0.01566856222207462,0.00487087912555798,0.002214035966162718,0.0024184085168854307,0.006097114429894255,0.00023843464250983116,0.057054003743423884
Finnish,0.008583647130353922,0.0002724967342969499,0.003883078463731536,0.0011240490289749184,0.00020437255072271244,0.004019326830880011,0.0015327941304203432,6.812418357423748e-05,0.019687889052954634
French,0.009026454323586466,0.00023843464250983116,0.006301486980616966,0.02619374858429431,0.003133712444414924,0.07323349734230529,0.03593550683541027,0.0005790555603810186,0.15464189671351908
German,0.002248098057949837,3.406209178711874e-05,0.008208964120695616,0.003678705913008824,0.002588718975821024,2.9356754427646155,0.008822081772863753,0.0006131176521681372,2.9618691913489097
Greek,0.005415872594151879,0.0,0.0,0.0002724967342969499,0.0,0.0002724967342969499,0.0003746830096583061,0.0,0.0063355490724040855
Gujarati,3.406209178711874e-05,0.0,0.0,3.406209178711874e-05,0.0,3.406209178711874e-05,6.812418357423748e-05,0.0,0.0001703104589355937
Hebrew,0.0001703104589355937,0.0,0.0,6.812418357423748e-05,0.0,0.0009878006618264435,0.0009878006618264435,0.0,0.002214035966162718
Hindi,0.0010559248454006809,0.0,3.406209178711874e-05,6.812418357423748e-05,0.0,0.00010218627536135622,0.0016009183139945808,3.406209178711874e-05,0.0028952778019050926
Hungarian,0.0022821601497369556,0.0,0.0005790555603810186,0.0008174902028908498,0.00023843464250983116,0.0010899869371877996,0.0014987320386332245,0.0,0.006505859531339679
Icelandic,0.006403673255978323,0.0002724967342969499,0.00487087912555798,0.001975601323652887,0.000510931376806781,0.0012262353043362745,0.0015327941304203432,6.812418357423748e-05,0.016860735434623776
Indonesian,0.001941539231865768,3.406209178711874e-05,0.001839352956504412,0.0005449934685938998,0.00010218627536135622,0.00020437255072271244,0.0009878006618264435,3.406209178711874e-05,0.005688369328448829
Italian,0.06631889270952018,0.00023843464250983116,0.02895277801905093,0.013658898806634614,0.00810677784533426,0.4746211869617125,0.028816529651902453,0.0004428071932325436,0.6211563058298973
Japanese,0.012773284420169527,0.0,0.0002724967342969499,0.003338084995137636,6.812418357423748e-05,0.0038149542801572986,0.005381810502364761,0.0003065588260840686,0.025955313941784477
Kannada,3.406209178711874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.406209178711874e-05
Korean,0.0026909052511823804,0.0,0.00010218627536135622,0.0001703104589355937,0.0,0.00010218627536135622,0.000510931376806781,0.0,0.003576519637647467
Kurdish,0.0030655882608406865,0.0,0.0009878006618264435,0.0007493660193166122,0.000647179743955256,0.0012602973961233933,0.0012262353043362745,0.00010218627536135622,0.008038653661760022
LANGUAGE UNDEFINED,0.0005449934685938998,3.406209178711874e-05,0.000510931376806781,0.0012262353043362745,6.812418357423748e-05,0.05320498737147947,0.004462134024112554,0.21629428284820398,0.2763457506688943
Latvian,0.001294359487910512,6.812418357423748e-05,0.002997464077266449,0.0007153039275294936,0.00010218627536135622,0.000647179743955256,0.0014306078550589871,0.00010218627536135622,0.007357411826017648
Lithuanian,0.005347748410577642,0.0,0.0038490163719444173,0.0013965457632718684,0.001021862753613562,0.0007153039275294936,0.0017371666811430556,3.406209178711874e-05,0.014101705999867157
Macedonian,0.00013624836714847495,0.0,0.0,0.0,0.0,0.17405728903217677,0.0,0.0,0.17419353739932525
Malay,0.002248098057949837,0.0,0.001566856222207462,0.0008515522946779684,0.002214035966162718,0.00023843464250983116,0.0008856143864650872,0.0,0.008004591569972904
